Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Argentina,ARG,1965,0,0,0,1.2251163
Argentina,ARG,1966,0,0,0,1.2409302
Argentina,ARG,1967,0,0,0,1.2706977
Argentina,ARG,1968,0,0,0,1.4976745
Argentina,ARG,1969,0,0,0,1.3432558
Argentina,ARG,1970,0.05624185,0,0,1.5571272
Argentina,ARG,1971,0.05899074,0,0,1.5461483
Argentina,ARG,1972,0.07602739,0,0,1.5026463
Argentina,ARG,1973,0.05997025,0,0,2.9974296
Argentina,ARG,1974,0.06100323,0,0,4.994663
Argentina,ARG,1975,0.063990325,0,0,5.1947746
Argentina,ARG,1976,0.060962547,0,0,5.014902
Argentina,ARG,1977,0.064003065,0,0,5.7667804
Argentina,ARG,1978,0.06397281,0,0,7.7466183
Argentina,ARG,1979,0.09498376,0,0,10.656913
Argentina,ARG,1980,0.09901763,0,0,15.140881
Argentina,ARG,1981,0.08701801,0,0,14.684794
Argentina,ARG,1982,0.1149734,0,0,17.592196
Argentina,ARG,1983,0.15497561,0,0,18.41851
Argentina,ARG,1984,0.11498845,0,0,19.877867
Argentina,ARG,1985,0.12000641,0,0,20.653124
Argentina,ARG,1986,0.123990245,0,0,21.030247
Argentina,ARG,1987,0.10598629,0,0,21.912518
Argentina,ARG,1988,0.12296129,0,0,15.259144
Argentina,ARG,1989,0.10600155,0,0,13.187393
Argentina,ARG,1990,0.13302182,0,0,17.713175
Argentina,ARG,1991,0.1310081,0,0,15.869253
Argentina,ARG,1992,0.12998593,0,0,19.16509
Argentina,ARG,1993,0.09599508,0,0,23.768307
Argentina,ARG,1994,0.099004395,0,0,27.286676
Argentina,ARG,1995,0.119016126,0,0,26.503681
Argentina,ARG,1996,0.22302064,0,0.009618,22.471685
Argentina,ARG,1997,0.17875852,0,0.014592,27.924665
Argentina,ARG,1998,0.20689325,0.000017,0.032541,26.475504
Argentina,ARG,1999,0.26199996,0.000026,0.034781,21.396791
Argentina,ARG,2000,0.3860283,0.000036,0.034758,28.575241
Argentina,ARG,2001,0.36299825,0.000043,0.049361,36.580173
Argentina,ARG,2002,0.5299802,0.000047,0.073405,35.778835
